Ligand_Cost_fixed,Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,Yield
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.1,120,59.81
8.0,CC(C)(C)C(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.1,120,0.0
1.0,CC(C)(C)C(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCCOC(C)=O,0.057,120,2.35
1.0,CC(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.153,90,0.78
1.0,CC(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CCCC#N,0.1,105,3.21
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.153,120,80.86
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccc(C)cc1,0.153,120,43.9
24.0,CC(C)(C)C(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,105,48.25
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,Cc1ccc(C)cc1,0.1,120,0.0
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,Cc1ccc(C)cc1,0.153,120,0.0
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,CCCCOC(C)=O,0.057,90,0.0
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.1,105,0.0
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.057,90,0.0
297.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,105,48.88
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.153,90,21.5
144.0,CC(C)(C)C(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.153,120,19.13
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.1,90,0.0
800.0,CC(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.1,90,7.34
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.1,120,7.69
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCCOC(C)=O,0.153,90,0.0
102.0,CC(C)(C)C(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.153,90,0.0
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,105,87.62
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.1,120,45.17
8.0,CC(C)(C)C(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.153,120,0.0
144.0,CC(C)(C)C(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.057,105,11.91
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCCOC(C)=O,0.1,105,0.0
24.0,CC(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(=O)N(C)C,0.1,105,65.37
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.153,105,0.0
36.0,CC(C)(C)C(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.153,120,26.48
552.0,CC(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,90,3.77
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCCOC(C)=O,0.057,105,30.75
1.0,CC(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.057,120,89.71
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.153,120,22.08
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.153,120,0.0
24.0,CC(=O)[O-].[Cs+],CP(C)c1ccccc1,CC(=O)N(C)C,0.1,105,0.0
552.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.1,105,0.0
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CC(=O)N(C)C,0.057,105,11.52
24.0,CC(=O)[O-].[Cs+],CP(C)c1ccccc1,CC(=O)N(C)C,0.057,120,5.9
297.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.1,90,39.5
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CCCC#N,0.057,90,26.3
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,Cc1ccc(C)cc1,0.1,105,9.89
102.0,CC(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.1,105,0.0
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.1,105,54.67
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,120,1.68
24.0,CC(C)(C)C(=O)[O-].[K+],CP(C)c1ccccc1,CC(=O)N(C)C,0.153,120,0.0
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.057,105,36.66
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.1,120,42.04
102.0,CC(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,90,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,CCCC#N,0.057,120,0.0
144.0,CC(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCCOC(C)=O,0.153,120,62.33
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.1,90,29.21
800.0,CC(C)(C)C(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.153,90,8.95
22.0,CC(C)(C)C(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,Cc1ccc(C)cc1,0.057,105,0.0
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.153,90,0.0
36.0,CC(C)(C)C(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCC#N,0.1,120,56.45
8.0,CC(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.057,120,0.0
552.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,105,71.97
552.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1ccc(C)cc1,0.057,105,6.96
800.0,CC(C)(C)C(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.1,105,28.64
552.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.153,120,43.12
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.153,120,0.0
36.0,CC(C)(C)C(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.153,90,5.65
24.0,CC(C)(C)C(=O)[O-].[K+],CP(C)c1ccccc1,CCCC#N,0.1,90,0.0
800.0,CC(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.153,105,57.33
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(=O)N(C)C,0.1,105,29.16
144.0,CC(C)(C)C(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.153,105,19.28
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CC(=O)N(C)C,0.153,120,2.64
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.1,105,0.0
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.153,105,6.4
102.0,CC(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCC#N,0.057,120,0.0
24.0,CC(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.057,105,54.41
800.0,CC(C)(C)C(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.153,105,47.33
22.0,CC(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,Cc1ccc(C)cc1,0.057,90,0.0
297.0,CC(C)(C)C(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.057,90,0.0
8.0,CC(C)(C)C(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.153,120,0.0
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCC#N,0.057,105,46.17
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCC#N,0.153,105,28.37
8.0,CC(C)(C)C(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CC(=O)N(C)C,0.1,90,0.0
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCC#N,0.1,120,48.15
8.0,CC(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,Cc1ccc(C)cc1,0.057,120,0.0
800.0,CC(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,105,0.0
72.0,CC(C)(C)C(=O)[O-].[Cs+],c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,0.153,90,31.66
72.0,CC(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,CCCC#N,0.153,90,5.7
36.0,CC(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.153,105,21.77
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CCCC#N,0.057,90,0.86
24.0,CC(C)(C)C(=O)[O-].[K+],CP(C)c1ccccc1,CCCCOC(C)=O,0.1,90,0.0
36.0,CC(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.1,120,15.42
36.0,CC(C)(C)C(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.1,105,20.21
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.057,90,22.92
144.0,CC(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.057,90,28.4
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,CC(=O)N(C)C,0.153,105,0.0
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)N(C)C,0.1,120,83.22
72.0,CC(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,0.057,120,62.04
800.0,CC(=O)[O-].[K+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.153,120,0.0
24.0,CC(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.153,120,77.01
144.0,CC(C)(C)C(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Cc1ccc(C)cc1,0.1,120,40.85
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.153,120,0.0
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.057,90,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.153,90,0.0
1.0,CC(C)(C)C(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.057,120,2.44
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CC(=O)N(C)C,0.1,105,29.31
24.0,CC(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(=O)N(C)C,0.1,120,84.81
144.0,CC(=O)[O-].[K+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CC(=O)N(C)C,0.1,105,80.38
22.0,CC(C)(C)C(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,Cc1ccc(C)cc1,0.1,105,0.0
102.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)(C)P(c1ccccc1)C(C)(C)C,CCCCOC(C)=O,0.1,90,0.0
102.0,CC(=O)[O-].[K+],CC(C)(C)P(c1ccccc1)C(C)(C)C,Cc1ccc(C)cc1,0.1,90,0.0
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,CCCC#N,0.1,105,0.0
1.0,CC(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.1,120,16.64
24.0,CC(=O)[O-].[Cs+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.1,90,0.0
24.0,CC(=O)[O-].[Cs+],CP(C)c1ccccc1,CCCCOC(C)=O,0.1,90,0.0
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CC(=O)N(C)C,0.1,120,30.15
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.1,105,0.0
1.0,CC(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.1,120,74.04
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,CCCCOC(C)=O,0.153,120,0.0
36.0,CC(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.057,90,3.14
8.0,CC(=O)[O-].[Cs+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.153,120,0.0
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CC(=O)N(C)C,0.153,120,7.43
24.0,CC(C)(C)C(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Cc1ccc(C)cc1,0.1,105,35.07
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.153,105,0.0
22.0,CC(=O)[O-].[Cs+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CC(=O)N(C)C,0.057,90,8.04
552.0,CC(C)(C)C(=O)[O-].[K+],COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCCOC(C)=O,0.153,120,6.87
22.0,CC(=O)[O-].[K+],C1CCC([PH+](C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F,CC(=O)N(C)C,0.153,105,5.25
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.153,120,0.0
36.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.1,105,40.43
24.0,CC(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,90,85.24
1.0,CC(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.153,105,3.57
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(=O)N(C)C,0.153,90,14.72
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,Cc1ccc(C)cc1,0.057,90,1.12
1.0,CC(=O)[O-].[Cs+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,CC(=O)N(C)C,0.1,105,62.82
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCC#N,0.057,105,0.0
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,CCCCOC(C)=O,0.057,120,0.0
8.0,CC(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.1,120,0.0
36.0,CC(C)(C)C(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCCOC(C)=O,0.057,120,38.63
8.0,CC(C)(C)C(=O)[O-].[K+],CP(c1ccccc1)c1ccccc1,CCCCOC(C)=O,0.153,90,0.0
24.0,CC(=O)[O-].[K+],CP(C)c1ccccc1,CCCC#N,0.057,120,0.0
72.0,CC(C)(C)C(=O)[O-].[K+],c1coc(P(c2ccco2)c2ccco2)c1,CC(=O)N(C)C,0.1,120,76.02
144.0,CC(=O)[O-].[Cs+],CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,CCCC#N,0.1,90,57.95
24.0,CC(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.057,90,18.72
36.0,CC(=O)[O-].[Cs+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,Cc1ccc(C)cc1,0.1,120,21.42
1.0,CC(=O)[O-].[K+],c1ccc(P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C)cc1,0.057,120,2.59
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.1,120,69.13
297.0,CC(=O)[O-].[Cs+],COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,CCCC#N,0.153,120,69.03
36.0,CC(=O)[O-].[K+],CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CCCC#N,0.057,90,4.98
24.0,CC(C)(C)C(=O)[O-].[K+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCCOC(C)=O,0.1,120,66.49
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CCCC#N,0.057,105,36.65
24.0,CC(C)(C)C(=O)[O-].[Cs+],CP(C)c1ccccc1,Cc1ccc(C)cc1,0.153,120,0.0
800.0,CC(=O)[O-].[Cs+],CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,CCCC#N,0.153,120,8.82
24.0,CC(C)(C)C(=O)[O-].[Cs+],CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(=O)N(C)C,0.057,105,30.21
