Precatalyst,N-H nucleophile ,N-H nucleophile addition method,N-H nucleophile Inlet Injection (uL),N-H nucleophile concentration (M),N-H nucleophile equivalents,Aryl triflate concentration (M),Precatalyst loading in mol%,Internal Standard Concentration 1-fluoronaphthalene (g/L),Base,Base concentration (M),Base equivalents,Make-Up Solvent ID,Quench Outlet Injection (uL),Temperature (degC),Residence Time Actual (s),Residence Time Actual (min),Reaction Yield,Conversion,right censored performance
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TEA,1.01,1.1,2-MeTHF,19,65,1062,18,9,12,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,1.00,1.1,2-MeTHF,19,30,378,6,9,13,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,1.50,1.6,2-MeTHF,19,65,326,5,92,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TEA,1.52,1.7,2-MeTHF,19,100,74,1,3,4,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,2.00,2.2,2-MeTHF,19,30,1291,22,85,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,1.00,1.1,2-MeTHF,19,100,75,1,92,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,1.00,1.1,2-MeTHF,19,30,1256,21,84,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TEA,2.03,2.2,2-MeTHF,19,65,1279,21,9,8,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,1.51,1.6,2-MeTHF,19,30,1119,19,7,15,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TEA,2.03,2.2,2-MeTHF,19,30,74,1,1,1,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,1.00,1.1,2-MeTHF,19,100,320,5,26,79,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,2.00,2.2,2-MeTHF,19,65,76,1,10,11,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,1.00,1.1,2-MeTHF,19,100,1275,21,103,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TEA,1.01,1.1,2-MeTHF,19,100,1065,18,13,15,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,2.00,2.2,2-MeTHF,19,100,1218,20,90,93,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,2.00,2.2,2-MeTHF,19,100,1251,21,100,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,2.00,2.2,2-MeTHF,19,100,1290,22,86,90,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,1.00,1.1,2-MeTHF,19,100,1428,24,102,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,1.00,1.1,2-MeTHF,19,100,1179,20,101,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TEA,1.01,1.1,2-MeTHF,19,100,1401,23,12,13,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,2.00,2.2,2-MeTHF,19,63,1163,19,95,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,2.00,2.2,2-MeTHF,19,63,1243,21,32,37,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,2.00,2.2,2-MeTHF,19,63,1322,22,83,88,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,1.44,1.6,2-MeTHF,19,100,504,8,98,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,1.41,1.5,2-MeTHF,19,100,493,8,99,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,1.89,2.1,2-MeTHF,19,100,552,9,97,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,TMG,2.00,2.2,2-MeTHF,19,100,456,8,80,87,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,DBU,1.00,1.1,2-MeTHF,19,100,460,8,98,100,0
tBuXPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.95,11,BTMG,2.00,2.2,2-MeTHF,19,100,454,8,99,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,2.00,2.2,2-MeTHF,21,30,369,6,37,33,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,BTMG,2.00,2.2,2-MeTHF,21,100,75,1,103,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.00,1.1,2-MeTHF,21,48,66,1,4,6,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.99,2.2,2-MeTHF,21,100,682,11,98,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,2.00,2.2,2-MeTHF,21,100,1250,21,99,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.04,1.1,2-MeTHF,21,30,74,1,17,20,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,1.00,1.1,2-MeTHF,21,100,1274,21,102,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.04,1.1,2-MeTHF,21,65,1251,21,2,5,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,1.00,1.1,2-MeTHF,21,30,358,6,51,58,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,BTMG,1.50,1.6,2-MeTHF,21,65,320,5,97,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.51,1.7,2-MeTHF,21,100,75,1,2,4,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,BTMG,2.00,2.2,2-MeTHF,21,30,1241,21,102,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,BTMG,1.00,1.1,2-MeTHF,21,100,76,1,101,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,BTMG,1.00,1.1,2-MeTHF,21,30,1292,22,103,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.97,2.2,2-MeTHF,21,65,1062,18,3,6,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.51,1.7,2-MeTHF,21,30,1272,21,8,4,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.04,1.1,2-MeTHF,21,30,75,1,1,0,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.97,2.2,2-MeTHF,21,30,74,1,1,1,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.00,1.1,2-MeTHF,21,100,327,5,93,96,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.99,2.2,2-MeTHF,21,65,74,1,4,0,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.97,2.2,2-MeTHF,21,100,391,7,7,10,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,2.00,2.2,2-MeTHF,21,100,477,8,103,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.99,2.2,2-MeTHF,21,100,473,8,100,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,1.05,1.1,2-MeTHF,21,100,533,9,103,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.81,2.0,2-MeTHF,21,100,477,8,101,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,BTMG,1.00,1.1,2-MeTHF,21,100,526,9,100,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TEA,1.04,1.1,2-MeTHF,21,100,449,7,6,9,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,1.00,1.1,2-MeTHF,21,57,1277,21,42,41,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.99,2.2,2-MeTHF,21,63,1072,18,35,35,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,BTMG,1.53,1.7,2-MeTHF,21,100,386,6,100,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,DBU,1.41,1.6,2-MeTHF,21,100,348,6,103,100,0
tBuBrettPhos,Aniline,Online injection at reactor inlet,6,1.50,1.6,0.91,0.94,11,TMG,1.45,1.6,2-MeTHF,21,100,416,7,92,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,DBU,0.99,1.1,2-MeTHF,19,30,1258,21,97,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,1.00,1.1,2-MeTHF,19,65,75,1,21,22,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TEA,1.02,1.1,2-MeTHF,19,65,1071,18,7,9,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,2.00,2.2,2-MeTHF,19,100,1263,21,94,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,DBU,2.00,2.2,2-MeTHF,19,100,74,1,98,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,1.00,1.1,2-MeTHF,19,30,75,1,93,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TEA,2.03,2.2,2-MeTHF,19,100,320,5,23,30,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TEA,2.03,2.2,2-MeTHF,19,30,1366,23,15,17,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,1.50,1.6,2-MeTHF,19,65,341,6,95,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,DBU,2.00,2.2,2-MeTHF,19,65,1071,18,99,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,2.00,2.2,2-MeTHF,19,30,382,6,5,7,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TEA,1.02,1.1,2-MeTHF,19,100,76,1,6,10,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,2.00,2.2,2-MeTHF,19,65,75,1,16,19,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,DBU,1.50,1.7,2-MeTHF,19,30,90,1,57,63,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,2.00,2.2,2-MeTHF,19,30,75,1,96,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,1.00,1.1,2-MeTHF,19,100,1279,21,96,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,1.00,1.1,2-MeTHF,19,30,328,5,6,8,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,1.50,1.6,2-MeTHF,19,100,1180,20,99,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,DBU,0.99,1.1,2-MeTHF,19,100,321,5,96,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,DBU,1.37,1.5,2-MeTHF,19,100,1215,20,100,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TEA,1.91,2.1,2-MeTHF,19,100,1351,23,21,24,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,1.48,1.6,2-MeTHF,19,100,1301,22,99,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,1.44,1.6,2-MeTHF,19,100,1216,20,95,98,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,1.45,1.6,2-MeTHF,19,100,1275,21,97,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,2.00,2.2,2-MeTHF,19,30,1370,23,8,9,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,DBU,1.55,1.7,2-MeTHF,19,100,1309,22,99,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,BTMG,1.00,1.1,2-MeTHF,19,89,1093,18,93,100,0
AlPhos,Aniline,Online injection at reactor inlet,4,1.50,1.6,0.91,0.94,11,TMG,1.00,1.1,2-MeTHF,19,89,1393,23,94,100,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,2.00,2.1,DMSO,15,30,83,1,2,2,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,2.00,2.1,DMSO,15,65,1402,23,7,14,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,1.00,1.0,DMSO,15,100,497,8,15,22,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,TMG,0.99,1.0,DMSO,15,100,80,1,4,8,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,1.01,1.0,DMSO,15,30,77,1,1,4,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,1.50,1.6,DMSO,15,100,78,1,9,14,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,2.00,2.1,DMSO,15,30,475,8,9,21,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,1.50,1.6,DMSO,15,30,1414,24,2,6,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,TMG,1.51,1.6,DMSO,15,65,497,8,2,8,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,0.99,1.0,DMSO,15,100,1378,23,26,38,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,0.99,1.0,DMSO,15,30,484,8,8,16,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,TMG,0.99,1.0,DMSO,15,30,1607,27,0,7,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,2.01,2.1,DMSO,15,65,79,1,3,9,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,1.01,1.0,DMSO,15,65,1668,28,16,22,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,2.00,2.1,DMSO,15,100,1442,24,24,41,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,2.01,2.1,DMSO,15,100,464,8,15,28,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,1.00,1.0,DMSO,15,48,79,1,1,6,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,TMG,2.00,2.1,DMSO,15,100,80,1,4,7,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,TMG,2.00,2.1,DMSO,15,30,1331,22,0,22,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,2.00,2.1,DMSO,15,100,323,5,21,27,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,TMG,0.99,1.0,DMSO,15,100,395,7,8,14,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,2.01,2.1,DMSO,15,100,312,5,12,20,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,1.01,1.0,DMSO,15,100,417,7,12,20,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,2.00,2.1,DMSO,15,100,1554,26,23,31,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,2.00,2.1,DMSO,15,100,1515,25,5,17,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,2.01,2.1,DMSO,15,100,1652,28,10,20,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,1.40,1.5,DMSO,15,81,542,9,11,16,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,1.41,1.5,DMSO,15,81,629,10,20,27,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,1.38,1.4,DMSO,15,81,591,10,8,14,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,DBU,1.00,1.0,DMSO,15,100,1833,31,11,18,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,MTBD,1.01,1.0,DMSO,15,100,1454,24,9,19,0
tBuXPhos,Benzamide,Liquid handler,0,1.20,1.2,0.96,1.05,11,BTMG,2.00,2.1,DMSO,15,100,334,6,17,24,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,MTBD,2.00,2.1,DMSO,15,30,89,1,2,5,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,MTBD,2.00,2.1,DMSO,15,65,1461,24,90,90,1
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,DBU,1.00,1.0,DMSO,15,100,500,8,56,67,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,TMG,0.99,1.0,DMSO,15,100,75,1,4,6,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,MTBD,1.01,1.0,DMSO,15,30,79,1,1,3,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,MTBD,1.50,1.6,DMSO,15,100,77,1,70,73,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,BTMG,2.00,2.1,DMSO,15,30,526,9,5,13,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,DBU,1.50,1.6,DMSO,15,30,1742,29,2,2,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,TMG,1.51,1.6,DMSO,15,65,423,7,2,2,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,BTMG,0.99,1.0,DMSO,15,100,1719,29,94,91,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,BTMG,0.99,1.0,DMSO,15,30,490,8,3,5,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,TMG,0.99,1.0,DMSO,15,30,1601,27,0,1,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,DBU,2.01,2.1,DMSO,15,65,83,1,3,3,0
tBuBrettPhos,Benzamide,Liquid handler,0,1.20,1.3,0.96,1.05,11,MTBD,1.01,1.0,DMSO,15,65,1597,27,51,55,0
